date,dp,term,def,ypl,tb30,CRSP_SPvwx,realgnpg,mktrf,Rfree,AAA,BAA,vwretx,ewretx,corpr
2007-02-28,1.7977211014913068,0.3600000000000006,1.5282459555920136,0.0165758861923661,0.0503,-0.021598,0.0157672497001468,-0.0253562436224417,0.0038,0.0539,0.0628,0.0220256341388205,-0.0094207908184461,0.0287
2007-03-31,1.794265444871416,0.3599999999999999,1.6806953408675351,0.0259691845109746,0.0494,0.009679,0.0157672497001468,0.0056057556156525,0.0043,0.053,0.0627,-0.0125067515232901,-0.0304788950874271,-0.0231
2007-04-30,1.735012176447176,0.5999999999999999,1.5545565195555344,0.0255361836287908,0.0487,0.042857,0.0157672497001468,0.0374072299851151,0.0044,0.0547,0.0639,0.0142265365994975,-0.0301115979596085,0.014
2007-05-31,1.6950451451045985,0.7399999999999997,1.5545565195555344,0.0294952516749107,0.0473,0.032154,0.0193437472001811,0.0275461744129137,0.0041,0.0547,0.0639,0.0427350732522139,-0.0092427734309623,-0.0178
2007-06-30,1.7407789270628933,1.1799999999999995,1.4597523481201646,0.0296306577566329,0.0461,-0.017829,0.0193437472001811,-0.0215193382328013,0.004,0.0579,0.067,0.0400851897666845,-0.0115704201294633,-0.0148
2007-07-31,1.816796883052629,0.9099999999999996,1.4890132394111477,0.0263068353346587,0.0482,-0.032283,0.0193437472001811,-0.0357496281744893,0.004,0.0573,0.0665,-0.012813063742234,-0.0385509362058146,-0.0032
2007-08-31,1.8120000814116783,1.59,1.3848456308285906,0.025379772156912,0.042,0.012859,0.0236803607730662,0.0085432412514933,0.0042,0.0579,0.0665,-0.0282438337890017,-0.0799271476130653,0.0152
2007-09-30,1.7670214507941706,1.8500000000000003,1.380941381829408,0.0229029902243824,0.0389,0.035923,0.0236803607730662,0.0315315138969648,0.0032,0.0574,0.0659,0.0173763238591896,-0.0418681409071818,0.0135
2007-10-31,1.7574320050600882,1.7599999999999998,1.3529661814909177,0.0274045637654241,0.039,0.016292,0.0236803607730662,0.0114244330487528,0.0032,0.0566,0.0648,0.0401471478647947,-0.0097562349715249,0.0088
2007-11-30,1.8553749139176576,2.17,1.625189294977747,0.0253134164537207,0.0327,-0.043581,0.0213336468245786,-0.0474749717895006,0.0034,0.0544,0.064,0.0301694054331173,-0.0196002752060875,0.0079
2007-12-31,1.888637663788172,2.49,1.9168859914632375,0.0313824145861272,0.03,-0.007903,0.0213336468245786,-0.0110357762344287,0.0027,0.0549,0.0665,-0.0377680150245935,-0.1095393036660309,0.0028
2008-01-31,2.025461535671539,2.58,2.0458592729135416,0.0214579242090375,0.0275,-0.062332,0.0213336468245786,-0.0638697318921232,0.0021,0.0533,0.0654,0.0008572601866456,-0.0428947817140432,0.0017
2008-02-29,2.1126834657267604,3.4100000000000006,2.0967165632112694,0.0238870215754067,0.0212,-0.033693,0.0139247120551853,-0.0358243252377887,0.0013,0.0553,0.0682,-0.051788629514215,-0.0772792409689757,-0.0071
2008-03-31,2.139714220911771,4.25,2.235064618607443,0.0103209153408949,0.0126,-0.005054,0.0139247120551853,-0.0074112889451757,0.0017,0.0551,0.0689,-0.0201819067799983,-0.0518145222672064,-0.0059
2008-04-30,2.0524614063323208,4.26,2.2781729701408926,0.0052843195843901,0.0129,0.04749,0.0139247120551853,0.0437979429948564,0.0018,0.0555,0.0697,-0.0001409865854328,-0.0511983897326203,0.0091
2008-05-31,2.0405389965580767,3.84,2.1846475926261943,-0.0083179606919755,0.0173,0.010708,0.0137601076602762,0.0087023716031855,0.0018,0.0557,0.0693,0.0565279706113955,0.0002792254248225,-0.0277
2008-06-30,2.243125,3.82,2.189092471754215,-0.0147387727430609,0.0186,-0.084569,0.0137601076602762,-0.0895987270362363,0.0017,0.0568,0.0707,0.027705102027376,0.0092980960207612,-0.0061
